CRE	Name	OrigGold	NewGold
udgith03	Githyanki	98	72
udgith04	Githyanki	98	72
udgith05	Githyanki	98	72
udmaster	The Master Brain	2000	1500
udprince	Kuo-Toa Prince	4540	3405
udsilver	Adalon	3000	2250
udsimyaz	Simyaz	98	72
udtrap05	Gont of Riatavin	7	3
uhfem01	Mistress Eina	100	75
uhinn01	Vincenzo the Innkeep	20	15
uhman01	Ander	5	3
uhman02	Nelleck	8	6
uhmay01	Minister Lloyd	100	75
uhmer01	Elence Fielding	120	90
uhmer02	Min Minling	80	60
uhmer03	Beherant Diir	50	36
uhogre05	Orc	10	6
uhrang01	Merella	4872	3654
ultimm	Emanath	1660	1245
urnst	Urnst	9	6
va#fsala	Fire Salamander	10	6
va#kergo	Captain Kergo	7	3
va#orog	Orog	5	3
va#tian	Tian	5000	3750
va#ustrn	Ustrain	2500	1875
va#wiste	Wistemach	25	18
vaelag	Vaelag	24	18
vaelg01	Vaelag's Guard	100	75
vakg02	Archer	67	48
vakg04	Goon	67	48
vakmag01	Mage	6	3
valran02	Ranger	46	33
vesine11	Vesine	100	75
vesine13	Vesine	100	75
vesine8	Vesine	100	75
vicg1	Fanatic	10	6
vicg2	Fanatic	12	9
vicg3	Fanatic	5	3
viekang	Viekang	404	303
vinobma	Noble Villager	6	3
vinobwo	Noble Villager	8	6
vitrave	Traveller	12	9
vparan	Aran Linvail	142	105
vpcutspy	<Invalid Strref -1>	45	33
vpgorion	Gorion	58	42
vvryokoi	Ryokoi	30	21
vvshad1	Shadow Thief	173	129
vvshad3	Shadow Thief	94	69
vvshad4	Shadow Thief	68	51
wardabi1	Silver Abishai	5	3
wardabi2	Silver Abishai	5	3
wardmaga	Virdei Forgebrand	20	15
wardmagb	Eris Elenaak	20	15
wardmagc	Virdei Forgebrand	20	15
wardnob1	Greeter	24	18
waukni01	Waukeenar Knight	25	18
wbrupert	Rupert	200	150
wcust02	Debutante Alicia	7	3
wcust05	Lady Lasalla	10	6
wealmer	Wealthy Merchant	350	261
wench1	Tavern Wench	10	6
whitcomb	Whitcomb	58	42
wilton	Wilton	4	3
wpwench1	Tavern Wench	44	33
wsmith01	Cromwell	125	93
wtthork5	Thorknar	42	30
wtthork6	Thorknar	42	30
wvelda	Flurried voice	45	33
wwarro1	De'Lyl Guardsman	5	3
wwarro2	De'Lyl Guardsman	5	3
wwbilly	Billy	10	6
wwdelag	Delag	10	6
wweff	Eforf	5	3
wwelle	Eleanya	450	336
wwench	Rebecca	8	6
wwfght1	De'Lyl Guardsman	5	3
wwfght2	De'Lyl Guardsman	5	3
wwsten	Sten	5	3
wwswoo	Smethy	25	18
wwvivi	Vivick	5	3
wyvfight	Wyvern Cultist	30	21
wyvmag14	Wyvern Cultist	25	18
x#ajanfi	Ajantis, The Knight	48	36
x#ajdoug	Douglas	9	6
x#belgin	Belgin	2000	1500
x#corafi	Coran, The Peerless Archer	42	30
x#gael	Gael	380	285
x#kaband	Caravan Bandit Leader	20	15
x#karris	Karris	50	36
x#lakep1	Lake Poet Sam	46	33
x#lakep2	Lake Poet Rob	46	33
x#lakep3	Lake Poet Willy	46	33
x#lp1rep	Lake Poet Sam	46	33
x#lp2rep	Lake Poet Rob	46	33
x#lp3rep	Lake Poet Willy	46	33
x#maste	Master O'Challenges	46	33
x#mazuri	Mazuri	250	186
x#natan	Natan	201	150
x#skodd	Skodd	400	300
x#tanari	Aravaata	146	108
x#tqbh1	Alvo	11	6
x#tqbh2	Leti	16	12
x#tqbh3	Zed	20	15
x#tqbh4	Mati	12	9
x#winski	Winski Perorate	102	75
xappren1	Prebek	14	9
xappren2	Sanasha	20	15
xsdemi	Demi-Lich	20000	15000
xvartpre	Xvart Shaman	28	21
xzar	Xzar	907	678
xzar13	Xzar	907	678
yaga05	Lieutenant Thief	120	90
yarmy03	Mage	25	18
yatolsa	Ya'tol'sa	228	171
ybdiel	Ybdiel	30	21
ybdiel2	Ybdiel	30	21
yoshi10	Yoshimo	45	33
yoshi11	Yoshimo	45	33
yoshi12	Yoshimo	45	33
yoshi7	Yoshimo	45	33
yoshi8	Yoshimo	45	33
yscara01	Merchant	30	21
yscara02	Merchant	50	36
yscara05	Merchant	10	6
ysdivelf	Divalir's Guard	10	6
ysg2	Fire Giant	20	15
yssold04	Yaga-Shura Elite	311	231
ystmcptn	Kinalluth	100	75
ystmelf	Kinalluth's Guard	100	75
z#assas1	Assassin	5	3
z#baev	Baevrin	5	3
z#cw16	Cowled Wizard	25	18
z#cw18	Cowled Wizard	524	393
z#demili	Demi-Lich	20000	15000
z#gvmag1	Vampire	25	18
z#gvmag2	Vampire	25	18
z#khar16	Kharen	25	18
z#kywed	Kiyone	200	150
z#mage2	Shadow Thief Mage	25	18
z#nob1	Nobleman	14	9
z#nob2	Noblewoman	13	9
z#nob3	Nobleman	24	18
zacare3	Zacare	564	423
zemir	Zemir	46	33
zemthif1	Thief	4	3
zemthif2	Thief	6	3
zemthif3	Thief	7	3
zemthif5	Delane	13	9
zemthif6	Thief	4	3
zemthif7	Thief	5	3
zemthif8	Thief	5	3
zemthif9	Delane	13	9
zilarc01	Black Reaver	200	150
zprize1	Shadow Thief	183	135
zprize2	Shadow Thief	183	135
zprize3	Shadow Thief	183	135
zprize4	Shadow Thief	183	135
